# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

Fiber, soluble | 10 foods | Peaches, yellow, raw | Kiwifruit, green, raw | Nectarines, raw
trans-Lycopene | 10 foods | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim) | Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D
PUFA 18:2 | 9 foods | Nectarines, raw | Carrots, frozen, unprepared | Broccoli, raw
Brassicasterol | 8 foods | Oil, canola | Oil, corn | Oil, soybean
Campestanol | 8 foods | Oil, canola | Oil, corn | Oil, soybean
TFA 18:2 t | 6 foods | Oil, peanut | Oil, sunflower | Oil, safflower
Daidzin | 6 foods | Soy milk, unsweetened, plain, shelf stable | Soy milk, sweetened, plain, refrigerated | Peanut butter, creamy
Genistin | 6 foods | Soy milk, unsweetened, plain, shelf stable | Soy milk, sweetened, plain, refrigerated | Peanut butter, creamy
Glycitin | 6 foods | Soy milk, unsweetened, plain, shelf stable | Soy milk, sweetened, plain, refrigerated | Peanut butter, creamy
Daidzein | 6 foods | Soy milk, unsweetened, plain, shelf stable | Soy milk, sweetened, plain, refrigerated | Peanut butter, creamy
